Population,Rates.Property.All,Rates.Property.Burglary,Rates.Property.Larceny,Rates.Property.Motor,Rates.Violent.All,Rates.Violent.Assault,Rates.Violent.Murder,Rates.Violent.Rape,Rates.Violent.Robbery,State,Totals.Property.All,Totals.Property.Burglary,Totals.Property.Larceny,Totals.Property.Motor,Totals.Violent.All,Totals.Violent.Assault,Totals.Violent.Murder,Totals.Violent.Rape,Totals.Violent.Robbery,Year
3266740,1035.4,355.9,592.1,87.3,186.6,138.1,12.4,8.6,27.5,Alabama,33823,11626,19344,2853,6097,4512,406,281,898,1960
3302000,985.5,339.3,569.4,76.8,168.5,128.9,12.9,7.6,19.1,Alabama,32541,11205,18801,2535,5564,4255,427,252,630,1961
3358000,1067.0,349.1,634.5,83.4,157.3,119.0,9.4,6.5,22.5,Alabama,35829,11722,21306,2801,5283,3995,316,218,754,1962
3347000,1150.9,376.9,683.4,90.6,182.7,142.1,10.2,5.7,24.7,Alabama,38521,12614,22874,3033,6115,4755,340,192,828,1963
3407000,1358.7,466.6,784.1,108.0,213.1,163.0,9.3,11.7,29.1,Alabama,46290,15898,26713,3679,7260,5555,316,397,992,1964
3462000,1392.7,473.7,812.1,106.9,199.8,149.1,11.4,10.6,28.7,Alabama,48215,16398,28115,3702,6916,5162,395,367,992,1965
3517000,1528.0,527.5,869.6,131.0,230.3,177.7,10.9,9.7,32.0,Alabama,53740,18551,30583,4606,8098,6249,384,341,1124,1966
3540000,1612.4,571.4,895.0,146.0,238.6,183.5,11.7,10.5,33.0,Alabama,57079,20227,31682,5170,8448,6495,415,371,1167,1967
3566000,1766.6,628.2,967.7,170.7,232.4,168.5,11.8,11.1,41.0,Alabama,62997,22403,34508,6086,8288,6009,421,396,1462,1968
3531000,1876.2,667.2,1037.8,171.2,250.4,181.7,13.7,14.0,41.0,Alabama,66248,23559,36644,6045,8842,6415,485,494,1448,1969
3444165,2183.8,776.4,1184.0,223.5,295.7,215.2,11.7,18.5,50.3,Alabama,75214,26739,40779,7696,10185,7413,404,637,1731,1970
3479000,2187.0,791.8,1173.9,221.2,311.4,219.7,15.1,19.0,57.6,Alabama,76084,27547,40841,7696,10835,7645,524,661,2005,1971
3510000,2081.3,789.6,1096.7,195.0,313.2,211.7,14.1,18.8,68.6,Alabama,73053,27714,38493,6846,10994,7431,496,660,2407,1972
3539000,2232.2,897.3,1107.8,227.2,350.1,236.3,13.2,21.2,79.4,Alabama,78999,31754,39206,8039,12390,8362,468,751,2809,1973
3577000,2627.2,1057.9,1308.7,260.6,372.9,235.6,15.0,22.7,99.6,Alabama,93976,37841,46813,9322,13338,8429,536,811,3562,1974
3614000,3079.6,1163.8,1645.5,270.3,392.9,233.5,16.0,20.4,123.0,Alabama,111296,42059,59470,9767,14201,8440,577,738,4446,1975
3665000,3419.5,1170.0,1987.2,262.3,388.8,256.0,15.1,21.7,96.0,Alabama,125325,42879,72832,9614,14248,9381,553,794,3520,1976
3690000,3298.2,1135.5,1881.9,280.7,414.4,278.3,14.2,25.2,96.8,Alabama,121702,41901,69442,10359,15293,10268,524,929,3572,1977
3742000,3519.7,1229.3,1987.9,302.5,419.1,281.2,13.3,25.5,99.1,Alabama,131707,46001,74387,11319,15682,10521,499,954,3708,1978
3769000,3830.5,1287.3,2223.2,320.1,413.3,263.1,13.2,27.5,109.5,Alabama,144372,48517,83791,12064,15578,9918,496,1037,4127,1979
3861466,4485.1,1526.7,2642.2,316.2,448.5,273.2,13.2,30.0,132.1,Alabama,173191,58952,102029,12210,17320,10551,509,1158,5102,1980
3916000,4428.3,1450.7,2693.3,284.2,470.5,306.1,11.9,26.1,126.5,Alabama,173411,56811,105471,11129,18423,11985,465,1021,4952,1981
3943000,4185.8,1256.2,2656.4,273.3,447.7,299.1,10.6,26.0,112.0,Alabama,165048,49531,104740,10777,17653,11793,417,1026,4417,1982
3959000,3685.0,1073.1,2381.4,230.5,416.0,284.9,9.2,23.5,98.4,Alabama,145890,42485,94279,9126,16471,11281,364,931,3895,1983
3990000,3470.9,1001.8,2235.5,233.6,431.2,300.6,9.4,25.1,96.1,Alabama,138487,39970,89198,9319,17204,11995,374,1002,3833,1984
4021000,3484.6,1034.9,2191.2,258.5,457.5,315.5,9.8,26.8,105.4,Alabama,140115,41612,88108,10395,18398,12686,396,1079,4237,1985
4053000,3730.3,1159.0,2304.4,267.0,558.0,407.9,10.1,28.4,111.6,Alabama,151191,46974,93396,10821,22616,16534,409,1150,4523,1986
4083000,3892.2,1198.3,2431.1,262.8,559.2,409.9,9.3,27.8,112.2,Alabama,158918,48927,99260,10731,22833,16735,380,1137,4581,1987
4127000,4003.1,1233.8,2502.6,266.7,558.6,401.2,9.9,29.8,117.8,Alabama,165209,50920,103282,11007,23052,16556,408,1228,4860,1988
4118000,4037.0,1146.8,2592.8,297.5,590.8,415.7,10.2,31.0,133.9,Alabama,166244,47224,106771,12249,24329,17117,421,1276,5515,1989
4040587,4206.7,1103.4,2755.4,347.8,708.6,520.7,11.6,32.6,143.7,Alabama,169974,44585,111336,14053,28630,21039,467,1319,5805,1990
4089000,4521.4,1268.6,2889.5,363.4,844.2,644.4,11.5,35.6,152.8,Alabama,184882,51873,118151,14858,34518,26348,469,1455,6246,1991
4136000,4396.4,1186.0,2848.2,362.3,871.7,654.6,11.0,41.2,164.9,Alabama,181837,49053,117801,14983,36052,27074,455,1704,6819,1992
4187000,4098.4,1088.6,2672.0,337.8,780.4,574.3,11.6,35.1,159.5,Alabama,171598,45578,111878,14142,32676,24044,484,1471,6677,1993
4219000,4219.4,1044.4,2843.1,331.8,683.7,465.3,11.9,35.2,171.2,Alabama,178015,44064,119951,14000,28844,19633,501,1487,7223,1994
4253000,4215.7,1024.8,2844.3,346.6,632.4,403.7,11.2,31.7,185.8,Alabama,179294,43586,120967,14741,26894,17169,475,1350,7900,1995
4273000,4254.7,1002.1,2886.7,366.0,565.4,356.0,10.0,33.0,167.0,Alabama,181803,42821,123350,15632,24159,15194,444,1397,7124,1996
4319000,4325.3,1013.8,2954.8,356.7,564.5,361.8,9.9,32.3,160.5,Alabama,186809,43786,127616,15407,24379,15626,426,1396,6931,1997
4352000,4085.0,964.3,2779.0,341.7,512.1,339.9,8.1,33.2,130.9,Alabama,177779,41965,120943,14871,22286,14791,354,1443,5698,1998
4369862,3922.3,884.4,2737.3,300.6,490.2,326.5,7.9,34.6,121.2,Alabama,171398,38648,119616,13134,21421,14266,345,1513,5297,1999
4447100,4059.7,906.9,2864.8,288.0,486.2,317.2,7.4,33.3,128.2,Alabama,180539,40331,127399,12809,21620,14107,329,1482,5702,2000
4468912,3876.8,909.4,2685.0,282.4,438.2,274.1,8.5,30.6,125.0,Alabama,173253,40642,119992,12619,19582,12250,379,1369,5584,2001
4478896,4027.8,950.6,2767.0,310.1,445.0,268.0,6.8,37.2,133.1,Alabama,180400,42578,123932,13890,19931,12002,303,1664,5962,2002
4503726,4046.4,960.2,2754.1,332.1,429.2,251.7,6.6,36.8,134.1,Alabama,182241,43245,124039,14957,19331,11338,299,1656,6038,2003
4525375,4029.3,987.0,2732.4,309.9,427.0,249.4,5.6,38.5,133.5,Alabama,182340,44666,123650,14024,19324,11286,254,1742,6042,2004
4548327,3900.0,955.8,2656.0,289.0,433.0,248.3,8.2,34.4,141.7,Alabama,177393,43473,120780,13140,19678,11293,374,1564,6447,2005
4599030,3941.0,973.7,2640.8,326.5,425.2,227.5,8.3,35.8,153.6,Alabama,181249,44780,121451,15018,19553,10463,382,1646,7062,2006
4627851,3977.7,980.6,2689.5,307.7,448.9,246.7,8.9,33.4,159.9,Alabama,184082,45379,124465,14238,20775,11417,412,1548,7398,2007
4661900,4084.5,1081.3,2714.3,288.9,452.8,253.0,7.5,34.7,157.6,Alabama,190416,50411,126539,13466,21110,11795,351,1618,7346,2008
4708708,3780.4,1037.3,2507.5,235.5,450.1,278.3,6.8,31.9,133.1,Alabama,178007,48844,118072,11091,21194,13103,322,1504,6265,2009
4785401,3528.0,887.8,2414.9,225.3,383.7,248.0,5.7,28.3,101.6,Alabama,168828,42484,115564,10780,18363,11869,275,1355,4864,2010
4803689,3605.4,1064.2,2319.3,222.0,419.8,282.9,6.2,28.5,102.1,Alabama,173192,51119,111411,10662,20166,13591,299,1370,4906,2011
4822023,3502.2,984.7,2312.8,204.8,449.9,311.8,7.1,26.9,104.1,Alabama,168878,47481,111523,9874,21693,15035,342,1296,5020,2012
226167,1544.9,332.1,970.5,242.3,104.3,45.1,10.2,20.8,28.3,Alaska,3494,751,2195,548,236,102,23,47,64,1960
234000,1540.6,380.8,950.0,209.8,88.9,51.7,11.5,13.2,12.4,Alaska,3605,891,2223,491,208,121,27,31,29,1961
246000,1564.6,351.6,985.4,227.6,91.5,54.5,4.5,18.7,13.8,Alaska,3849,865,2424,560,225,134,11,46,34,1962
248000,1952.8,381.5,1213.7,357.7,109.7,66.1,6.5,14.9,22.2,Alaska,4843,946,3010,887,272,164,16,37,55,1963
250000,2016.0,443.6,1218.4,354.0,150.0,96.0,10.4,22.4,21.2,Alaska,5040,1109,3046,885,375,240,26,56,53,1964
253000,2454.5,554.5,1492.9,407.1,149.0,85.0,6.3,17.8,39.9,Alaska,6210,1403,3777,1030,377,215,16,45,101,1965
272000,2635.3,593.0,1600.7,441.5,150.4,82.0,12.9,19.5,36.0,Alaska,7168,1613,4354,1201,409,223,35,53,98,1966
272000,2723.9,688.6,1630.9,404.4,160.7,98.2,9.6,17.6,35.3,Alaska,7409,1873,4436,1100,437,267,26,48,96,1967
277000,3145.5,747.3,1915.9,482.3,175.5,90.6,10.5,21.7,52.7,Alaska,8713,2070,5307,1336,486,251,29,60,146,1968
282000,3658.9,870.6,2196.8,591.5,221.3,113.8,10.6,29.4,67.4,Alaska,10318,2455,6195,1668,624,321,30,83,190,1969
302173,3523.8,789.9,2182.5,551.3,278.0,167.8,12.2,26.1,71.8,Alaska,10648,2387,6595,1666,840,507,37,79,217,1970
313000,3809.3,848.6,2438.0,522.7,355.3,231.3,13.4,43.5,67.1,Alaska,11923,2656,7631,1636,1112,724,42,136,210,1971
325000,4108.0,970.8,2639.1,498.2,370.5,252.6,9.5,41.8,66.5,Alaska,13351,3155,8577,1619,1204,821,31,136,216,1972
330000,4558.8,1167.3,2865.5,526.1,384.5,263.0,10.0,44.5,67.0,Alaska,15044,3852,9456,1736,1269,868,33,147,221,1973
337000,4786.6,1166.8,2972.1,647.8,453.1,301.8,13.6,49.3,88.4,Alaska,16131,3932,10016,2183,1527,1017,46,166,298,1974
352000,5656.8,1214.5,3522.4,919.9,539.8,353.4,12.2,44.6,129.5,Alaska,19912,4275,12399,3238,1900,1244,43,157,456,1975
382000,5680.6,1218.1,3656.8,805.8,540.1,357.1,11.3,46.9,124.9,Alaska,21700,4653,13969,3078,2063,1364,43,179,477,1976
407000,5454.8,1331.7,3369.8,753.3,443.2,284.0,10.8,51.6,96.8,Alaska,22201,5420,13715,3066,1804,1156,44,210,394,1977
403000,5604.2,1339.2,3603.5,661.5,441.9,282.1,12.9,55.6,91.3,Alaska,22585,5397,14522,2666,1781,1137,52,224,368,1978
406000,5712.6,1383.3,3713.3,616.0,491.1,296.3,13.3,71.9,109.6,Alaska,23193,5616,15076,2501,1994,1203,54,292,445,1979
440142,5209.7,1259.8,3388.9,561.0,436.0,288.5,8.9,56.8,81.8,Alaska,22930,5545,14916,2469,1919,1270,39,250,360,1980
412000,5979.1,1329.9,3958.7,690.5,615.8,384.5,14.6,102.2,114.6,Alaska,24634,5479,16310,2845,2537,1584,60,421,472,1981
438000,5588.8,1188.1,3806.4,594.3,623.7,386.1,18.5,85.4,133.8,Alaska,24479,5204,16672,2603,2732,1691,81,374,586,1982
479000,5404.8,1194.2,3566.8,643.8,613.8,401.5,13.8,101.5,97.1,Alaska,25889,5720,17085,3084,2940,1923,66,486,465,1983
500000,5493.6,1236.8,3628.0,628.8,621.6,409.0,11.6,91.6,109.4,Alaska,27468,6184,18140,3144,3108,2045,58,458,547,1984
521000,5295.2,1191.7,3497.1,606.3,581.8,401.9,9.8,77.2,92.9,Alaska,27588,6209,18220,3159,3031,2094,51,402,484,1985
534000,5675.5,1161.8,3909.9,603.7,570.4,401.1,8.6,72.7,88.0,Alaska,30307,6204,20879,3224,3046,2142,46,388,470,1986
525000,4922.1,970.1,3465.7,486.3,455.4,307.2,10.1,65.0,73.1,Alaska,25841,5093,18195,2553,2391,1613,53,341,384,1987
513000,4398.8,842.3,3101.6,455.0,522.8,386.5,5.7,57.7,72.9,Alaska,22566,4321,15911,2334,2682,1983,29,296,374,1988
527000,4282.2,826.9,3000.2,455.0,497.7,369.3,8.0,52.9,67.6,Alaska,22567,4358,15811,2398,2623,1946,42,279,356,1989
550043,4628.2,894.3,3168.5,565.4,524.5,367.4,7.5,72.9,76.7,Alaska,25457,4919,17428,3110,2885,2021,41,401,422,1990
570000,5087.7,979.3,3574.6,533.9,613.9,401.6,7.4,91.8,113.2,Alaska,29000,5582,20375,3043,3499,2289,42,523,645,1991
587000,4909.0,880.7,3531.2,497.1,660.5,445.3,7.5,98.6,109.0,Alaska,28816,5170,20728,2918,3877,2614,44,579,640,1992
599000,4807.2,816.9,3539.4,450.9,760.8,545.6,9.0,83.8,122.4,Alaska,28795,4893,21201,2701,4557,3268,54,502,733,1993
606000,4941.7,800.0,3601.3,540.4,766.3,544.9,6.3,69.0,146.2,Alaska,29947,4848,21824,3275,4644,3302,38,418,886,1994
604000,4982.9,836.9,3624.3,521.7,770.9,526.3,9.1,80.3,155.1,Alaska,30097,5055,21891,3151,4656,3179,55,485,937,1995
607000,4722.7,843.2,3386.7,492.9,727.7,537.7,7.4,65.6,117.0,Alaska,28667,5118,20557,2992,4417,3264,45,398,710,1996
609000,4571.4,702.1,3412.2,457.1,701.1,519.7,8.9,66.2,106.4,Alaska,27840,4276,20780,2784,4270,3165,54,403,648,1997
614000,4123.1,667.4,3031.1,424.6,653.9,492.0,6.7,68.6,86.6,Alaska,25316,4098,18611,2607,4015,3021,41,421,532,1998
619500,3728.7,611.3,2688.3,429.1,630.8,447.6,8.4,83.5,91.4,Alaska,23099,3787,16654,2658,3908,2773,52,517,566,1999
626932,3682.5,621.9,2685.8,374.8,566.9,405.1,4.3,79.3,78.2,Alaska,23087,3899,16838,2350,3554,2540,27,497,490,2000
633630,3655.1,607.1,2634.8,413.2,589.5,423.1,6.2,79.1,81.1,Alaska,23160,3847,16695,2618,3735,2681,39,501,514,2001
641482,3759.7,609.2,2765.3,385.2,565.4,404.4,5.1,79.7,76.2,Alaska,24118,3908,17739,2471,3627,2594,33,511,489,2002
648280,3761.6,597.6,2784.4,379.6,598.0,429.9,6.0,93.3,68.8,Alaska,24386,3874,18051,2461,3877,2787,39,605,446,2003
657755,3370.9,573.6,2456.7,340.6,632.3,473.9,5.6,84.8,68.0,Alaska,22172,3773,16159,2240,4159,3117,37,558,447,2004
663253,3615.0,622.8,2601.0,391.0,632.0,465.4,4.8,81.1,81.0,Alaska,23975,4131,17249,2595,4194,3087,32,538,537,2005
670053,3578.1,620.1,2579.5,378.5,688.0,516.7,5.4,76.4,89.5,Alaska,23975,4155,17284,2536,4610,3462,36,512,600,2006
683478,3379.2,546.3,2476.9,356.0,661.3,490.3,6.3,79.7,85.0,Alaska,23096,3734,16929,2433,4520,3351,43,545,581,2007
686293,2927.3,471.7,2218.4,237.2,652.1,489.0,3.9,65.1,94.0,Alaska,20090,3237,15225,1628,4475,3356,27,447,645,2008
698473,2940.4,515.4,2183.5,241.5,633.4,463.2,3.1,73.4,93.6,Alaska,20538,3600,15251,1687,4424,3235,22,513,654,2009
714146,2836.8,434.8,2175.3,226.7,635.3,473.2,4.3,74.6,83.2,Alaska,20259,3105,15535,1619,4537,3379,31,533,594,2010
723860,2637.8,394.0,2052.1,191.7,610.1,466.1,4.1,60.2,79.6,Alaska,19094,2852,14854,1388,4416,3374,30,436,576,2011
731449,2739.4,403.3,2128.0,208.1,603.2,433.2,4.1,79.7,86.1,Alaska,20037,2950,15565,1522,4412,3169,30,583,630,2012
1302161,2806.0,685.5,1782.2,338.4,207.7,131.4,6.0,16.1,54.2,Arizona,36539,8926,23207,4406,2704,1711,78,209,706,1960
1391000,2969.4,737.7,1876.3,355.4,164.5,87.6,6.0,14.4,56.5,Arizona,41304,10262,26099,4943,2288,1218,84,200,786,1961
1509000,3028.1,774.9,1895.6,357.6,173.0,97.7,5.7,13.1,56.4,Arizona,45694,11693,28605,5396,2610,1475,86,198,851,1962
1559000,3200.4,830.3,2002.1,368.0,194.2,116.4,6.0,14.2,57.5,Arizona,49894,12944,31213,5737,3027,1815,93,222,897,1963
1581000,3432.3,868.2,2225.8,338.3,213.0,130.2,5.2,16.4,61.2,Arizona,54264,13726,35190,5348,3368,2059,83,259,967,1964
1608000,3355.5,816.5,2251.7,287.3,192.3,113.9,5.0,17.8,55.7,Arizona,53957,13129,36208,4620,3092,1831,80,286,895,1965
1618000,3933.6,931.1,2630.1,372.3,202.2,122.4,6.1,18.3,55.5,Arizona,63645,15066,42555,6024,3272,1980,98,296,898,1966
1634000,4599.8,1137.3,3055.3,407.2,238.2,141.0,5.6,16.7,74.9,Arizona,75160,18583,49923,6654,3892,2304,91,273,1224,1967
1670000,4610.8,1167.4,3022.2,421.2,263.6,151.9,6.3,18.7,86.7,Arizona,77001,19496,50471,7034,4402,2536,105,313,1448,1968
1693000,4885.4,1302.6,3144.2,438.6,339.2,210.2,6.0,23.0,99.9,Arizona,82710,22053,53231,7426,5742,3558,102,390,1692,1969
1772482,5543.9,1493.0,3549.7,501.2,370.3,213.7,9.5,27.0,120.2,Arizona,98265,26464,62918,8883,6564,3788,168,478,2130,1970
1849000,5540.9,1435.9,3654.2,450.8,400.6,250.7,6.7,29.9,113.3,Arizona,102451,26549,67566,8336,7407,4635,124,553,2095,1971
1945000,5484.4,1615.9,3438.7,429.8,448.9,287.4,7.3,33.4,120.8,Arizona,106671,31429,66883,8359,8731,5589,142,650,2350,1972
2058000,6224.0,1958.3,3720.1,545.6,479.9,293.6,8.1,31.0,147.3,Arizona,128089,40301,76560,11228,9877,6042,167,637,3031,1973
2153000,7654.9,2534.0,4518.6,602.3,566.7,315.5,9.6,37.5,204.2,Arizona,164811,54557,97286,12968,12202,6793,206,807,4396,1974
2224000,7793.7,2529.9,4747.7,516.1,547.8,333.8,8.6,35.5,170.0,Arizona,173331,56265,105588,11478,12184,7424,191,789,3780,1975
2270000,7431.1,2366.6,4642.7,421.8,455.3,287.9,7.8,29.7,129.9,Arizona,168686,53722,105389,9575,10335,6535,177,674,2949,1976
2296000,7253.0,2346.1,4467.4,439.5,494.2,312.3,9.5,34.2,138.2,Arizona,166528,53866,102571,10091,11347,7171,217,786,3173,1977
2354000,7051.7,2082.5,4504.8,464.4,552.1,335.6,9.4,44.2,162.9,Arizona,165998,49023,106042,10933,12996,7900,221,1040,3835,1978
2450000,7264.4,1996.6,4774.5,493.3,593.0,362.6,8.9,45.7,175.7,Arizona,177977,48916,116976,12085,14528,8884,219,1120,4305,1979
2715357,7519.9,2155.4,4891.2,473.3,650.9,401.8,10.3,45.2,193.6,Arizona,204193,58527,132814,12852,17673,10909,279,1227,5258,1980
2793000,7038.1,2064.3,4563.9,410.0,575.8,352.0,8.1,38.1,177.6,Arizona,196575,57655,127469,11451,16082,9830,227,1064,4961,1981
2860000,6614.0,1883.3,4360.9,369.8,517.0,311.6,8.3,38.5,158.6,Arizona,189161,53861,124723,10577,14785,8912,236,1100,4537,1982
2963000,5897.4,1668.6,3871.8,357.0,494.2,312.7,7.2,41.9,132.4,Arizona,174740,49440,114721,10579,14642,9265,213,1241,3923,1983
3053000,5983.3,1714.0,3884.8,384.5,516.1,334.1,7.8,43.1,131.1,Arizona,182670,52327,118604,11739,15756,10199,238,1316,4003,1984
3187000,6513.7,1869.6,4258.6,385.5,602.5,402.3,8.0,45.7,146.5,Arizona,207591,59585,135720,12286,19202,12820,254,1458,4670,1985
3317000,6663.1,1907.7,4336.6,418.8,658.3,436.8,9.3,43.0,169.2,Arizona,221015,63278,143845,13892,21835,14489,307,1425,5614,1986
3386000,6576.0,1626.1,4527.3,422.6,612.6,425.5,7.5,41.2,138.4,Arizona,222663,55059,153296,14308,20742,14406,253,1396,4687,1987
3466000,6861.2,1580.3,4821.7,459.1,610.1,425.8,8.5,38.8,137.0,Arizona,237808,54773,167121,15914,21147,14758,294,1345,4750,1988
3556000,7460.2,1667.2,5106.1,686.9,599.6,417.7,6.7,36.2,139.0,Arizona,265284,59284,181574,24426,21320,14853,237,1286,4944,1989
3665228,7236.4,1669.9,4703.0,863.5,652.4,442.8,7.7,40.9,160.9,Arizona,265229,61206,172375,31648,23911,16230,284,1500,5897,1990
3750000,6734.9,1607.5,4266.3,861.1,670.7,454.8,7.8,42.4,165.7,Arizona,252559,60281,159987,32291,25152,17056,291,1590,6215,1991
3832000,6357.8,1411.7,4124.6,821.5,670.8,466.6,8.1,43.0,153.1,Arizona,243629,54095,158053,31481,25706,17880,312,1647,5867,1992
3936000,6716.7,1465.5,4387.4,863.8,715.0,505.7,8.6,37.8,162.9,Arizona,264371,57684,172689,33998,28142,19903,339,1488,6412,1993
4075000,7221.4,1476.2,4678.5,1066.7,703.1,494.7,10.5,36.0,162.0,Arizona,294273,60157,190649,43467,28653,20161,426,1465,6601,1994
4218000,7500.1,1416.8,4925.6,1157.7,713.5,495.7,10.4,33.6,173.8,Arizona,316355,59762,207763,48830,30095,20909,439,1418,7329,1995
4428000,6435.5,1256.3,4252.5,926.7,631.5,424.0,8.5,31.2,167.8,Arizona,284964,55630,188300,41034,27963,18776,377,1381,7429,1996
4555000,6571.3,1318.9,4282.0,970.4,623.7,417.1,8.2,32.8,165.7,Arizona,299323,60077,195045,44201,28411,18997,375,1492,7547,1997
4669000,5997.0,1209.5,3922.4,865.1,577.9,373.6,8.1,31.1,165.2,Arizona,280001,56473,183137,40391,26984,17442,376,1451,7715,1998
4778332,5345.0,1034.3,3510.2,800.4,551.1,361.6,8.0,28.9,152.5,Arizona,255401,49423,167731,38247,26334,17279,384,1383,7288,1999
5130632,5297.8,1011.6,3444.1,842.1,531.7,347.7,7.0,30.7,146.3,Arizona,271811,51902,176705,43204,27281,17841,359,1577,7504,2000
5306966,5537.5,1033.0,3520.8,983.7,540.3,337.1,7.5,28.6,167.1,Arizona,293874,54821,186850,52203,28675,17889,400,1518,8868,2001
5441125,5849.8,1085.9,3704.0,1059.9,554.5,370.8,7.1,29.6,147.0,Arizona,318296,59087,201541,57668,30171,20176,387,1608,8000,2002
5579222,5634.0,1050.6,3561.9,1021.6,513.3,335.6,7.9,33.3,136.6,Arizona,314335,58613,198725,56997,28638,18722,441,1856,7619,2003
5739879,5073.3,991.0,3118.7,963.5,504.4,329.6,7.2,33.0,134.5,Arizona,291203,56885,179012,55306,28952,18921,414,1896,7721,2004
5953007,4827.0,946.2,2958.0,922.0,512.0,326.7,7.5,33.7,144.1,Arizona,287345,56328,176112,54905,30478,19448,445,2006,8579,2005
6166318,4774.1,963.6,2891.9,918.7,542.6,340.3,8.6,39.7,153.9,Arizona,294389,59418,178321,56650,33456,20983,533,2449,9491,2006
6338755,4532.6,946.4,2793.5,792.6,518.0,318.2,8.6,37.1,154.0,Arizona,287308,59988,177076,50244,32835,20170,548,2353,9764,2007
6500180,4102.2,901.6,2607.0,593.6,485.6,293.8,7.1,33.8,150.9,Arizona,266653,58606,169460,38587,31567,19096,462,2200,9809,2008
6595778,3589.0,823.4,2364.8,400.8,426.5,261.8,5.8,34.6,124.3,Arizona,236721,54308,155976,26437,28128,17270,380,2279,8199,2009
6413158,3536.5,794.2,2403.4,338.9,413.6,264.7,6.4,34.2,108.4,Arizona,226802,50932,154137,21733,26528,16976,408,2191,6953,2010
6467315,3554.7,845.7,2402.9,306.2,414.2,259.0,6.1,38.6,110.5,Arizona,229896,54695,155400,19801,26789,16748,397,2499,7145,2011
6553255,3539.2,807.8,2439.1,292.3,428.9,276.0,5.5,34.7,112.7,Arizona,231930,52934,159838,19158,28108,18087,358,2277,7386,2012
1786272,926.4,302.2,573.8,50.3,107.7,65.5,8.5,8.9,24.8,Arkansas,16548,5399,10250,899,1924,1170,152,159,443,1960
1797000,936.9,308.1,568.2,60.6,100.7,59.5,9.1,7.2,24.8,Arkansas,16836,5536,10211,1089,1809,1070,163,130,446,1961
1823000,998.3,311.7,612.7,73.9,91.4,54.8,7.9,6.8,21.9,Arkansas,18199,5683,11169,1347,1667,999,144,124,400,1962
1858000,1073.7,327.6,662.8,83.3,107.2,68.6,7.4,6.1,25.1,Arkansas,19949,6087,12315,1547,1991,1275,137,113,466,1963
1933000,1222.6,369.1,756.4,97.1,136.6,91.7,7.6,8.1,29.2,Arkansas,23633,7135,14622,1876,2641,1772,147,157,565,1964
1960000,1138.4,323.7,727.2,87.5,135.8,95.9,5.9,10.4,23.7,Arkansas,22313,6344,14254,1715,2662,1879,115,203,465,1965
1955000,1219.9,360.3,774.4,85.2,162.9,116.6,7.1,9.8,29.4,Arkansas,23850,7044,15140,1666,3185,2280,139,192,574,1966
1968000,1408.9,443.9,879.1,86.0,219.5,161.3,8.8,14.2,35.2,Arkansas,27728,8735,17301,1692,4320,3175,173,279,693,1967
2012000,1741.8,569.7,1068.9,103.2,216.7,151.7,8.1,17.3,39.6,Arkansas,35046,11463,21506,2077,4360,3052,163,349,796,1968
1995000,1968.5,651.1,1206.5,110.9,220.1,148.4,9.9,17.4,44.4,Arkansas,39271,12989,24069,2213,4390,2961,197,347,885,1969
1923295,2198.8,759.4,1320.0,119.4,222.3,149.5,10.1,17.1,45.6,Arkansas,42290,14606,25388,2296,4276,2876,195,328,877,1970
1944000,2087.5,720.9,1243.5,123.1,240.7,164.5,10.5,17.1,48.7,Arkansas,40581,14014,24173,2394,4680,3197,204,332,947,1971
1978000,2107.7,735.1,1258.4,114.2,244.7,162.2,10.4,17.3,54.8,Arkansas,41690,14541,24891,2258,4840,3208,206,342,1084,1972
2037000,2466.6,888.0,1433.7,144.9,289.9,190.0,8.8,19.5,71.5,Arkansas,50244,18088,29204,2952,5905,3871,180,398,1456,1973
2062000,2984.4,1075.2,1745.3,163.9,316.2,200.5,11.2,23.9,80.7,Arkansas,61539,22170,35989,3380,6521,4134,231,492,1664,1974
2116000,3191.9,1077.1,1947.0,167.8,348.3,224.7,10.1,25.9,87.6,Arkansas,67540,22791,41199,3550,7369,4755,213,547,1854,1975
2109000,3102.8,937.5,2013.9,151.4,303.9,192.9,10.1,24.2,76.7,Arkansas,65437,19771,42474,3192,6410,4069,213,510,1618,1976
2144000,3018.1,972.6,1862.1,183.4,322.9,203.4,8.8,27.6,83.2,Arkansas,64709,20852,39924,3933,6924,4360,188,592,1784,1977
2186000,3117.6,967.1,1950.9,199.6,344.1,231.9,9.1,23.1,80.0,Arkansas,68151,21140,42647,4364,7522,5070,199,505,1748,1978
2180000,3254.5,984.3,2076.5,193.8,366.2,255.3,9.1,27.3,74.6,Arkansas,70949,21457,45267,4225,7984,5565,198,595,1626,1979
2284037,3475.9,1119.0,2169.8,187.1,335.2,218.4,9.2,26.7,80.9,Arkansas,79390,25559,49558,4273,7656,4989,210,609,1848,1980
2294000,3486.1,1078.1,2221.4,186.6,310.3,198.6,9.1,25.2,77.4,Arkansas,79972,24732,50959,4281,7119,4557,209,577,1776,1981
2291000,3546.9,1071.5,2289.4,186.0,324.7,210.6,8.2,27.1,78.8,Arkansas,81259,24547,52450,4262,7438,4824,187,622,1805,1982
2328000,3202.9,961.3,2067.9,173.7,297.7,195.5,7.6,25.2,69.3,Arkansas,74563,22380,48140,4043,6930,4552,178,586,1614,1983
